Dizzy the Adventurer (Aladdin Cart)|Camerica|Unlicensed|A+
Donkey Kong|Nintendo|none|B-
Donkey Kong 3|Nintendo|none|B-
Donkey Kong Classics|Nintendo|NES-DJ-USA|B-
Donkey Kong Jr.|Nintendo|none|B-
Donkey Kong Jr. Math|Nintendo|none|A-
Double Dare|Gametek|NES-2D-USA|B
Double Dragon|Tradewest|NES-WD-USA|E
Double Dragon II: The Revenge|Acclaim|NES-W2-USA|D
Double Dragon III: The Sacred Stones|Acclaim|NES-3W-USA|C+
Double Dribble|Konami|NES-DW-USA|D
Double Strike (black)|American Video|Unlicensed|B+
Dr. Chaos|FCI|NES-DC-USA|C
Dr. Jekyll and Mr. Hyde|Bandai|NES-JH-USA|C+
DRx. Mario|Nintendo|NES-VU-USA|D
Dragon Fighter|Sofel|NES-1D-USA|B
Dragon Power|Bandai|NES-DP-USA|C
Dragon Spirit: The New Legend|Bandai|NES-P4-USA|B
Dragon Strike|FCI|NES-D5-USA|C
Dragon Warrior|Nintendo|NES-DQ-USA|E
Dragon Warrior II|Enix|NES-D2-USA|C+
Dragon Warrior III|Enix|NES-D3-USA|B+
Dragon Warrior IV|Enix|NES-D4-USA|B
Dragon's Lair|Imagesoft|NES-L9-USA|B
Duck Hunt|Nintendo|none|F
Duck Hunt|Nintendo|NES-DH-USA|F
Duck Tales|Capcom|NES-UK-USA|C+
Duck Tales 2|Capcom|NES-DL-USA|B+
Dudes with Attitude (black)|American Video|Unlicensed|B+
Dungeon Magic: Sword of the Elements|Taito|NES-DM-USA|C
Dusty Diamond's All-Star Softball (white/color)|Broderbund|NES-B7-USA|B-
Dusty Diamond's All-Star Softball (all white)|Broderbund|NES-B7-USA-?|B-
Dynowarz: The Destruction of Spondylus|Bandai|NES-WZ-USA|C+
Elevator Action|Taito|NES-EA-USA|B-
Eliminator Boat Duel|Electro Brain|NES-6R-USA|C+
Empire Strikes Back, The|JVC|NES-EK-USA|B
Excitebike|Nintendo|none|E
Excitebike|Nintendo|NES-EB-USA|E
Exodus: Journey to the Promised Land (black) v4.0|Wisdom Tree|Unlicensed|B+
F-117A Stealth Fighter|Microprose|NES-FA-USA|B+
F-15 City War (black)|American Video|Unlicensed|B
F-15 Strike Eagle|Microprose|NES-8F-USA|B+
Family Feud|Gametek|NES-YF-USA|B+
Fantastic Adventures of Dizzy, The (gold)|Camerica|Unlicensed|B-
Fantastic Adventures of Dizzy, The (Aladdin Cart)|Camerica|Unlicensed|A+
Fantasy Zone (black)|Tengen|Unlicensed|C
Faria|Nexoft|NES-N6-USA|B+
Faxanadu|Nintendo|NES-FX-USA|C-
Felix the Cat|Hudson|NES-FC-USA|B+
Ferrari Grand Prix Challenge|Acclaim|NES-FG-USA|B
Fester's Quest|Sunsoft|NES-EQ-USA|C
Final Fantasy|Nintendo|NES-FF-USA|C+
Fire & Ice|Tecmo|NES-K2-USA|A-
Fire Hawk (silver)|Camerica|Unlicensed|B
Fisher-Price Firehouse Rescue|Gametek|NES-QF-USA|B
Fisher-Price I Can Remember|Gametek|NES-F5-USA|B
Fisher-Price Perfect Fit|Gametek|NES-F7-USA|B
Fist of the North Star|Taxan|NES-HO-USA|C+
Flight of the Intruder|Mindscape|NES-4F-USA|B
Flintstones, The: The Rescue of Dino & Hoppy|Taito|NES-5Z-USA|C+
Flintstones, The: The Surprise at Dinosaur Peak!|Taito|NES-FT-USA|B+
Flying Dragon: The Secret Scroll|Culture Brain|NES-HR-USA|C
Flying Warriors|Culture Brain|NES-6F-USA|C
Formula One Built to Win|Seta|NES-W5-USA|B+
Fox's Peter Pan & the Pirates: The Revenge of Captain Hook|T*HQ|NES-5P-USA|B-
Frankenstein: The Monster Returns|Bandai|NES-2F-USA|B+
Freedom Force|Sunsoft|NES-FE-USA|D
Friday the 13th|LJN|NES-F3-USA|C-
Fun House|Hi Tech|NES-FS-USA|B+
G.I. Joe: A Real American Hero|Taxan|NES-X4-USA|B+
G.I. Joe: The Atlantis Factor|Capcom|NES-6I-USA|C+
Galactic Crusader (blue)|Bunch Games|Unlicensed|B
Galaga: Demons of Death|Bandai|NES-AG-USA|B
Galaxy 5000: Racing in the 51st Century|Activision|NES-Y5-USA|A-
Gargoyle's Quest II|Capcom|NES-G2-USA|B+
Gauntlet|Tengen|NES-GL-USA|C
Gauntlet (black)|Tengen|Unlicensed|C
Gauntlet II|Mindscape|NES-2U-USA|C
Gemfire|Koei|NES-GE-USA|B-
Genghis Khan|Koei|NES-GX-USA|C+
George Forman's KO Boxing|Acclaim|NES-KB-USA|B
Ghosts 'n Goblins|Capcom|NES-GG-USA|C
Ghost Lion|Kemco|NES-LL-USA|B
Ghostbusters|Activision|NES-GB-USA|B-
Ghostbusters II|Activision|NES-VV-USA|B
Ghoul School|Electro Brain|NES-Y3-USA|B-
Goal!|Jaleco|NES-JG-USA|D
Goal! Two|Jaleco|NES-GT-USA|B-
Godzilla: Monster of Monsters!|Toho|NES-GZ-USA|C+
Godzilla 2: War of the Monsters|Toho|NES-7Z-USA|B
Gold Medal Challenge '92|Capcom|NES-GM-USA|B+
Golf (teal end label)|Nintendo|none|E
Golf (green end label)|Nintendo|none|E
Golf (green end label)|Nintendo|NES-GF-USA|E
Golf Grand Slam|Atlus|NES-7G-USA|B+
